token_mint,token_symbol,token_name,token_supply_used,wallet,tier,api_status,strict_direct_swap_pass,strict_clean_pass,transfer_contamination_signal,cluster_trace_priority,minimum_actual_buy_market_cap_usd,max_realized_lot_multiple,passing_allocations_realized_profit_usd,history_transfer_out_income_usd,transfer_in
CixGc8St4fdtRJPLirH5dnwAnjY8SxxfmPPQdjuUpump,TRUMP2,American Dominance,999997327,3EKX2bfqj6hKNeM4yMxEDMZB4vGB9RmQcdovgQZb7GGQ,B,ok,False,False,True,HIGH,,,0.0,0.0,False
Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,Buttcoin,Buttcoin,999944888,AowTUid5daQr9EqwazF7hDm3jBTQSisv6LaHGhQL8k92,A,ok,True,True,False,MEDIUM,4888.3000338323245,10109.7402568626,177341.5079810984,0.0,False
CqEQBrm77irTktBqr8uB2k3DM72YwtX2jix7C4SLpump,XMN,X Money,999993705,H8SBYDiAy8snjqXxq1K39EJbLi2LPwrpqRqC8snsyX3y,B,ok,True,False,True,HIGH,9690.39591047874,79.76137173008746,516.4110378133792,11922597.259072088,False
CzDdjj21JDkYJ7ESyFYMXNjnpvy7qJrxpzAVEqNepump,DAIDAI26,World Cup 2026 Official Song,999811930,FQHxBKBSbLfKPP5Zbwi7i3P9dpZYUFaiEv1ewKrqJLCW,A,ok,False,False,False,HIGH,162161.49483090147,,0.0,0.0,False
DM4ah6fDXXtLGaBBxUBK6G5CZkkaHSkT6tEc96DFpump,Lobby ,Lobbie ,1930224955,3qtH3t7PKwJnsUsCSJZmFwuGcg5HDTdQAicS9EMTmK1s,B,ok,False,False,True,HIGH,,,0.0,136913.50714065816,False
DM4ah6fDXXtLGaBBxUBK6G5CZkkaHSkT6tEc96DFpump,Lobby ,Lobbie ,1930224955,6drUPuz137QuD5n74KwMRMmAETQ6kncTtDmZD5hy6qts,B,ok,False,False,True,HIGH,8936.749449503626,,0.0,0.0,False
DM4ah6fDXXtLGaBBxUBK6G5CZkkaHSkT6tEc96DFpump,Lobby ,Lobbie ,1930224955,Aa5UbKcKjX7ZDYmLCDZz94GecjZPWARRU6NG3NzuDMCV,B,ok,False,False,True,HIGH,,,0.0,0.0,False
DM4ah6fDXXtLGaBBxUBK6G5CZkkaHSkT6tEc96DFpump,Lobby ,Lobbie ,1930224955,D6F2rxwnVW8c2zuzVX6jif98De9DCXWU8q5MF9UfhC5V,B,ok,False,False,True,HIGH,,,0.0,0.0,False
DM4ah6fDXXtLGaBBxUBK6G5CZkkaHSkT6tEc96DFpump,Lobby ,Lobbie ,1930224955,FjD6Kr8iNBBLDcRoGbiXtvKiuEfc9s1ZJC4S6LSNmTPP,B,ok,False,False,True,HIGH,,,0.0,0.0,False
DMYNp65mub3i7LRpBdB66CgBAceLcQnv4gsWeCi6pump,丙午,bǐngwǔ,999447500,7kJsCmHF17P98HmXw1gmnyxPEWr2jyKAX9roHh498a7j,B,ok,True,False,True,HIGH,6883.166196050665,180.6944451780385,947.1355479842716,20405.978,False
